ne_name,top_keys
CARDINAL,"[('政治', [('20', 4), ('600億', 4), ('19', 3), ('2019', 2), ('60幾', 2), ('29', 1), ('21', 1), ('四成', 1), ('23', 1), ('26', 1), ('49', 1), ('60', 1), ('2萬7930', 1), ('2萬3323', 1), ('75', 1), ('100', 1), ('2.0', 1), ('一半', 1)]), ('科技', [('10', 5), ('2019', 2), ('30', 2), ('5億', 1), ('數百萬', 1), ('之一', 1), ('45', 1), ('4K', 1), ('2.5', 1), ('19', 1), ('30萬', 1), ('190個', 1), ('20億', 1), ('席萬', 1), ('700多萬', 1), ('約4000', 1), ('31', 1), ('2.0', 1), ('數百', 1), ('300', 1), ('5G', 1), ('數以千計', 1), ('10億', 1), ('數千', 1), ('130', 1), ('17', 1)]), ('運動', [('19', 9), ('21', 6), ('18', 4), ('14', 4), ('10', 4), ('2019', 4), ('13', 3), ('11', 3), ('16', 2), ('2020', 2), ('122', 2), ('22', 2), ('33', 2), ('17', 2), ('8.2', 2), ('250', 1), ('500', 1), ('5比0', 1), ('47', 1), ('37', 1), ('235', 1), ('113', 1), ('41', 1), ('15', 1), ('92', 1), ('82', 1), ('81', 1), ('3成33', 1), ('3.00', 1), ('75', 1), ('12', 1), ('五、六百', 1), ('128', 1), ('76', 1)]), ('證卷', [('500', 3), ('11', 3), ('六角', 3), ('14', 2), ('40.7萬', 2), ('6.4萬', 2), ('300', 2), ('2887.43', 2), ('3個', 2), ('30', 1), ('673.07', 1), ('5個交易日', 1), ('100', 1), ('5366.11', 1), ('290', 1), ('141', 1), ('200', 1), ('209', 1), ('294', 1), ('159', 1), ('71', 1), ('56', 1), ('3500萬', 1), ('17', 1), ('77', 1), ('41', 1), ('16', 1), ('18', 1), ('44個', 1), ('3名', 1), ('7610.17', 1), ('1200億', 1), ('9636.15', 1), ('9977', 1), ('1萬', 1), ('2.26萬', 1), ('25.3萬', 1), ('3.86萬', 1), ('3.85萬', 1), ('6個交易日', 1), ('421', 1), ('5821.89萬', 1), ('1.94億', 1), ('10382.22點', 1), ('10831.13', 1), ('109.89', 1), ('1937.95', 1), ('17431.05', 1)]), ('產經', [('2019', 5), ('半數', 4), ('1000萬', 2), ('1090313', 2), ('19', 2), ('1萬3003', 2), ('1.1', 1), ('7萬4997', 1), ('7家', 1), ('68', 1), ('200', 1), ('395', 1), ('9000億', 1), ('7、10', 1), ('9萬多', 1), ('4666', 1), ('5565', 1), ('1萬1197', 1), ('7010', 1), ('8414', 1), ('1萬1378', 1), ('100多', 1), ('8.3', 1), ('1900萬', 1), ('150多', 1), ('200萬', 1), ('2500', 1)]), ('娛樂', [('14', 3), ('2019', 2), ('19', 2), ('12', 2), ('16', 2), ('約207', 1), ('140', 1), ('數百', 1), ('上百', 1), ('3、40', 1), ('10', 1), ('之一', 1), ('007', 1), ('八百', 1), ('6.5', 1), ('1000', 1), ('14萬', 1)]), ('生活', [('2019', 5), ('1090313', 5), ('19', 4), ('05', 4), ('10', 4), ('14', 4), ('34', 3), ('13', 3), ('17', 3), ('20', 3), ('88', 2), ('9224', 2), ('008', 2), ('03', 2), ('29', 2), ('16', 2), ('21', 2), ('24', 2), ('15', 2), ('06', 2), ('04', 2), ('02', 2), ('49', 2), ('33', 2), ('32', 2), ('31', 2), ('22', 2), ('13萬8756', 1), ('70萬', 1), ('60', 1), ('近千', 1), ('400多', 1), ('1萬5000多', 1), ('1萬2462', 1), ('280', 1), ('1090314', 1), ('59', 1), ('第109063', 1), ('11', 1), ('78', 1), ('14.3萬', 1), ('1.1萬', 1), ('26', 1), ('30多', 1), ('1/3', 1), ('200', 1), ('709', 1)]), ('國際', [('2019', 8), ('1090314', 2), ('28', 2), ('154', 2), ('500', 2), ('421', 2), ('250', 2), ('15', 1), ('約5300', 1), ('110', 1), ('72', 1), ('8086', 1), ('107', 1), ('79', 1), ('800', 1), ('3661', 1), ('10', 1), ('10萬', 1), ('3062', 1), ('157', 1), ('98', 1), ('609', 1), ('500萬', 1), ('23185.62', 1), ('140萬', 1), ('逾1萬5000', 1), ('1016', 1), ('1191', 1), ('2萬8297', 1), ('3000', 1), ('457', 1), ('五彩繽紛', 1), ('158', 1), ('數千', 1), ('59', 1), ('420', 1), ('40', 1), ('1700', 1), ('31', 1), ('1000', 1), ('6000', 1), ('2547', 1), ('1266', 1), ('1萬7660', 1)]), ('社會', [('2019', 3), ('104', 2), ('19', 2), ('1922', 2), ('35', 2), ('13', 1), ('16至20', 1), ('22', 1), ('15', 1), ('3、4', 1), ('36', 1), ('1090314', 1), ('60多', 1), ('新台幣500萬', 1), ('41', 1)]), ('文化', [('之一', 4), ('19', 4), ('36', 3), ('2019', 3), ('50萬', 3), ('50', 2), ('十數', 2), ('20', 2), ('1200', 1), ('10', 1), ('首200', 1), ('1.5', 1), ('2019百', 1), ('逾8000', 1), ('12', 1), ('148萬', 1), ('約52萬', 1), ('41萬', 1), ('23萬', 1), ('6.1萬', 1), ('200', 1), ('30', 1), ('90', 1), ('5、60', 1), ('5、6', 1), ('46', 1)]), ('兩岸', [('2019', 6), ('41', 4), ('50', 3), ('12', 3), ('26', 3), ('19', 2), ('之一', 2), ('5000萬', 2), ('42', 2), ('381', 2), ('100萬', 2), ('50萬', 2), ('28000', 2), ('3176', 2), ('10例', 2), ('31', 2), ('8萬813', 2), ('63個', 1), ('45', 1), ('13', 1), ('63', 1), ('1016', 1), ('1萬5113', 1), ('70多', 1), ('3400萬', 1), ('2萬', 1), ('7.8億', 1), ('90', 1), ('77', 1), ('134', 1), ('14', 1), ('29', 1), ('71', 1), ('24500點', 1), ('26000', 1), ('60', 1), ('27', 1), ('99', 1), ('10', 1), ('25', 1), ('20', 1), ('約2000', 1), ('6515萬', 1), ('23000', 1), ('75', 1), ('131', 1), ('147', 1), ('88', 1), ('1255', 1), ('4萬9991', 1), ('16', 1), ('44', 1), ('3793', 1), ('1103', 1), ('4020', 1), ('2483', 1), ('67萬8088', 1), ('1萬2161', 1), ('3948', 1), ('1萬3171', 1), ('6萬4111', 1), ('6萬7786', 1), ('3萬5197', 1), ('33', 1), ('2436', 1), ('1萬3526', 1), ('1萬2358', 1), ('1318', 1), ('237', 1), ('49', 1), ('3062例', 1), ('5萬1553', 1)]), ('全部', [('2019', 40), ('19', 29), ('10', 17), ('14', 14), ('20', 10), ('21', 9), ('之一', 8), ('16', 8), ('13', 8), ('17', 7), ('41', 7), ('12', 7), ('11', 7), ('1090313', 7), ('31', 6), ('500', 6), ('26', 5), ('18', 5), ('22', 5), ('15', 5), ('33', 5), ('50', 5), ('50萬', 5), ('29', 4), ('49', 4), ('600億', 4), ('30', 4), ('200', 4), ('半數', 4), ('05', 4), ('1090314', 4), ('36', 4), ('60', 3), ('75', 3), ('300', 3), ('250', 3), ('六角', 3), ('421', 3), ('34', 3), ('88', 3), ('60幾', 2), ('100', 2), ('2.0', 2), ('45', 2), ('數百', 2), ('數千', 2), ('2020', 2), ('122', 2), ('8.2', 2), ('71', 2), ('77', 2), ('40.7萬', 2), ('6.4萬', 2), ('2887.43', 2), ('3個', 2), ('1000萬', 2), ('1萬3003', 2), ('1000', 2), ('9224', 2), ('008', 2), ('59', 2), ('03', 2), ('24', 2), ('06', 2), ('04', 2), ('02', 2), ('32', 2), ('28', 2), ('154', 2), ('1016', 2), ('104', 2), ('1922', 2), ('35', 2), ('十數', 2), ('90', 2), ('5000萬', 2), ('42', 2), ('381', 2), ('100萬', 2), ('28000', 2), ('3176', 2), ('10例', 2), ('8萬813', 2), ('四成', 1), ('23', 1), ('2萬7930', 1), ('2萬3323', 1), ('一半', 1), ('5億', 1), ('數百萬', 1), ('4K', 1), ('2.5', 1), ('30萬', 1), ('190個', 1), ('20億', 1), ('席萬', 1), ('700多萬', 1), ('約4000', 1), ('5G', 1), ('數以千計', 1), ('10億', 1), ('130', 1), ('5比0', 1), ('47', 1), ('37', 1), ('235', 1), ('113', 1), ('92', 1), ('82', 1), ('81', 1), ('3成33', 1), ('3.00', 1), ('五、六百', 1), ('128', 1), ('76', 1), ('673.07', 1), ('5個交易日', 1), ('5366.11', 1), ('290', 1), ('141', 1), ('209', 1), ('294', 1), ('159', 1), ('56', 1), ('3500萬', 1), ('44個', 1), ('3名', 1), ('7610.17', 1), ('1200億', 1), ('9636.15', 1), ('9977', 1), ('1萬', 1), ('2.26萬', 1), ('25.3萬', 1), ('3.86萬', 1), ('3.85萬', 1), ('6個交易日', 1), ('5821.89萬', 1), ('1.94億', 1), ('10382.22點', 1), ('10831.13', 1), ('109.89', 1), ('1937.95', 1), ('17431.05', 1), ('1.1', 1), ('7萬4997', 1), ('7家', 1), ('68', 1), ('395', 1), ('9000億', 1), ('7、10', 1), ('9萬多', 1), ('4666', 1), ('5565', 1), ('1萬1197', 1), ('7010', 1), ('8414', 1), ('1萬1378', 1), ('100多', 1), ('8.3', 1), ('1900萬', 1), ('150多', 1), ('200萬', 1), ('2500', 1), ('約207', 1), ('140', 1), ('上百', 1), ('3、40', 1), ('007', 1), ('八百', 1), ('6.5', 1), ('14萬', 1), ('13萬8756', 1), ('70萬', 1), ('近千', 1), ('400多', 1), ('1萬5000多', 1), ('1萬2462', 1), ('280', 1), ('第109063', 1), ('78', 1), ('14.3萬', 1), ('1.1萬', 1), ('30多', 1), ('1/3', 1), ('709', 1), ('約5300', 1), ('110', 1), ('72', 1), ('8086', 1), ('107', 1), ('79', 1), ('800', 1), ('3661', 1), ('10萬', 1), ('3062', 1), ('157', 1), ('98', 1), ('609', 1), ('500萬', 1)])]"
DATE,"[('政治', [('今天', 32), ('去年', 9), ('2018年', 7), ('今年', 5), ('2019', 4), ('4年', 3), ('1年', 3), ('昨天', 3), ('2月', 2), ('2019年', 2), ('2016年', 2), ('去年底', 2), ('1月', 2), ('105年', 2), ('日前', 2), ('兩年', 2), ('上週', 2), ('107年8月1日', 2), ('14天', 1), ('1月1日', 1), ('一月', 1), ('2018', 1), ('2017年', 1), ('2016', 1), ('7週年', 1), ('半世紀', 1), ('去年3月', 1), ('103歲', 1), ('去年10月', 1), ('過去一年', 1), ('105年1月', 1), ('民國105年', 1), ('13日', 1), ('民國114年前', 1), ('今年10月', 1), ('2014年', 1), ('10月', 1), ('9年', 1), ('1090313', 1), ('3月12日止', 1), ('2020', 1), ('時期', 1), ('2020年', 1), ('2016年1月26日', 1), ('2018年底', 1), ('四年', 1), ('一個月後', 1), ('14年', 1), ('2月中旬', 1), ('2月初', 1), ('去年11月', 1), ('12日', 1), ('去年7月29日', 1), ('今年2月26日', 1), ('民國105年1月26日', 1), ('同年5月4日', 1), ('107年12月31日', 1), ('4天', 1), ('18日', 1), ('近年來', 1), ('30天', 1), ('2年', 1), ('30週年', 1), ('3年', 1), ('7月', 1)]), ('科技', [('今天', 18), ('七號', 11), ('今年', 3), ('2018年', 2), ('2021年', 2), ('2021年上半年', 2), ('二號', 2), ('6個月', 2), ('2008年', 1), ('今年度', 1), ('6月', 1), ('未來幾週', 1), ('去年', 1), ('半年', 1), ('近日', 1), ('19', 1), ('3年', 1), ('2017年', 1), ('日前', 1), ('2012年', 1), ('3月底', 1), ('11月', 1), ('4月', 1), ('三號', 1), ('1月', 1), ('7天', 1), ('去年7月', 1), ('9月', 1), ('7年', 1), ('2019年6月25日', 1), ('去年6月25日', 1), ('去年8到10月', 1), ('近年', 1), ('每日', 1), ('6日', 1), ('去年12月10日', 1), ('2021年2月', 1), ('7日', 1), ('3個月', 1), ('2021年下半年', 1), ('10幾年來', 1), ('昨天', 1), ('去年8月', 1), ('3月', 1), ('6月2日到6月6日', 1), ('3日', 1), ('4月上旬', 1), ('今年夏天', 1), ('夏天時期', 1), ('5年', 1), ('1090304', 1), ('冬天', 1), ('數個月', 1), ('過去兩年', 1), ('民國107年', 1), ('兩年', 1), ('108年', 1), ('近半年', 1)]), ('運動', [('今天', 34), ('2020年', 6), ('昨天', 5), ('2019', 5), ('今年', 4), ('2019年', 3), ('4月15日', 3), ('19', 2), ('19日', 2), ('3月24日到29日', 2), ('11日', 2), ('下週', 2), ('17日', 2), ('4月4日', 2), ('12年', 2), ('2009年', 2), ('30天', 2), ('2021年', 2), ('4月7日到12日', 1), ('13日', 1), ('去年', 1), ('121天', 1), ('26日', 1), ('20日', 1), ('19日為止', 1), ('7月24日', 1), ('4月20日', 1), ('9月14日', 1), ('4月9－12日', 1), ('下半季', 1), ('28日', 1), ('4月11日', 1), ('14日', 1), ('半季', 1), ('本週', 1), ('24日到29日', 1), ('過去幾天', 1), ('3月26到29日', 1), ('2月25日到3月1日', 1), ('幾天', 1), ('3月3日到8日', 1), ('1090313', 1), ('6、7月', 1), ('2020', 1), ('4月', 1), ('3月29日', 1), ('108學年', 1), ('96學年度', 1), ('5月', 1), ('37歲', 1), ('去年底', 1), ('2月', 1), ('109年', 1), ('幾天後', 1), ('2008年', 1), ('2012年', 1), ('4月2日到5日', 1), ('3月19日到22日', 1), ('4月8日', 1), ('3月26日到29日', 1), ('108學年度', 1), ('4月18日', 1), ('6月4日', 1), ('4月1日至5日', 1), ('2週', 1), ('3月13日至25日', 1), ('22日', 1), ('6月17日至21日', 1), ('3月22日', 1), ('明年3月9日至23日', 1), ('明天', 1), ('3月22日至26日', 1)]), ('證卷', [('今天', 39), ('去年', 20), ('本週', 14), ('昨天', 10), ('今年', 8), ('2019年', 7), ('全年', 5), ('前年', 5), ('2月', 4), ('2018年', 4), ('下週', 3), ('第4季', 3), ('星期一', 2), ('1987年', 2), ('1月', 2), ('108年度', 2), ('5年', 2), ('1090313', 2), ('3週', 2), ('第1季', 2), ('去年度', 2), ('2015年', 2), ('3月', 2), ('2月中下旬', 2), ('12年', 1), ('全天', 1), ('2009年', 1), ('11年', 1), ('COVID-19', 1), ('上週', 1), ('2011年9月', 1), ('2008年10月', 1), ('近幾天', 1), ('三月瘋', 1), ('17日', 1), ('13日', 1), ('4月7日', 1), ('今年前2月', 1), ('9日', 1), ('4月', 1), ('3月12日止', 1), ('今年2月單月', 1), ('15日', 1), ('8日', 1), ('前2月', 1), ('上週五', 1), ('1個月', 1), ('33年', 1), ('近日', 1), ('最近一週', 1), ('5天前', 1), ('19日', 1), ('2月底', 1), ('往年', 1), ('1至2月', 1), ('2019年度', 1), ('2天', 1), ('清明節', 1), ('5天後', 1), ('週四', 1), ('未來5年', 1), ('前一年', 1), ('前一年度', 1), ('今日', 1), ('今早', 1), ('下半年', 1), ('農曆春節', 1), ('半年', 1), ('第2季', 1), ('單月', 1), ('19', 1), ('日前', 1), ('5個月', 1), ('6個月', 1), ('20年前', 1), ('3月6日', 1), ('今年初', 1), ('2021年上半年', 1), ('去年10月', 1), ('未來5G時代', 1), ('12日', 1)]), ('產經', [('今天', 25), ('2月', 9), ('2019年', 6), ('今年', 4), ('一年', 4), ('日前', 3), ('第3季', 3), ('本週', 3), ('今年度', 3), ('去年', 3), ('20日', 2), ('去年2月', 2), ('2008年', 2), ('4月下旬', 2), ('17年', 2), ('近日', 2), ('11日', 2), ('7.1年', 2), ('3個月', 2), ('首季', 1), ('今年2月', 1), ('當年', 1), ('第2季', 1), ('13個月', 1), ('第1季', 1), ('今年春節', 1), ('2019年12月', 1), ('2003年全年', 1), ('春節', 1), ('農曆春節', 1), ('1090314', 1), ('SARS當年', 1), ('1月', 1), ('今年第2季', 1), ('下週', 1), ('1年期', 1), ('2月下旬', 1), ('5年期', 1), ('16日', 1), ('即日', 1), ('2016年7月', 1), ('當天', 1), ('去年上半年', 1), ('2014年4月21日', 1), ('2019年度', 1), ('去年5月', 1), ('2020年', 1), ('一年後', 1), ('2014年', 1), ('1090313', 1), ('5月', 1), ('十多年', 1), ('4月', 1), ('往年', 1), ('7年期', 1), ('15年', 1), ('10年', 1), ('上半年', 1), ('第55年', 1), ('2013年', 1), ('7年', 1), ('前一年', 1), ('2019', 1), ('19年', 1), ('去年底', 1), ('第5年', 1), ('8.8年', 1), ('10.4年', 1), ('11年以上', 1), ('13.7年以上', 1), ('昨天', 1), ('7到10天', 1), ('2週後', 1), ('12日', 1), ('2016年', 1), ('去年第4季', 1)]), ('娛樂', [('今天', 17), ('2019', 7), ('今年', 4), ('10年', 4), ('12週年', 3), ('9日', 3), ('80年代', 3), ('今年5月', 2), ('63歲', 2), ('7日', 2), ('5月', 2), ('3月21日', 2), ('3月27日', 2), ('8月7日', 2), ('去年', 2), ('1990年', 1), ('明天', 1), ('2歲', 1), ('4月2日', 1), ('明年春天', 1), ('明年4月', 1), ('一年', 1), ('2021年4月', 1), ('昨天', 1), ('5日', 1), ('30歲', 1), ('3月15日', 1), ('3月25日至4月13日', 1), ('6年', 1), ('21日', 1), ('27日', 1), ('23日', 1), ('1999年', 1), ('4月23日至5月10日', 1), ('13日至14日', 1), ('32年', 1), ('16歲', 1), ('5個月', 1), ('4月3日', 1), ('2018年', 1), ('多年', 1), ('日前', 1), ('這幾年', 1), ('10天', 1), ('10月', 1), ('1090311', 1), ('春季', 1), ('過去一週', 1), ('4月', 1), ('78歲', 1), ('32歲', 1), ('1995至2019年', 1), ('布夏季', 1), ('4月10日', 1), ('4月17日', 1), ('14日', 1), ('2010年', 1), ('2000年', 1), ('數個月', 1), ('本月10日', 1), ('本月27日', 1), ('去年9月', 1), ('本月和4月', 1), ('11日', 1), ('前幾天', 1), ('30年', 1), ('公元1980年代', 1), ('30年前', 1), ('明年', 1), ('週日', 1), ('1090309', 1), ('90歲', 1)]), ('生活', [('今天', 16), ('13日', 10), ('今年', 6), ('2019', 4), ('去年', 4), ('日前', 3), ('11日', 3), ('一年', 2), ('3月', 2), ('14日', 2), ('12日', 2), ('16日', 2), ('5月1日', 2), ('5年', 2), ('109年', 2), ('6月3日', 1), ('第15年', 1), ('110年度', 1), ('過去一年', 1), ('春天', 1), ('昨天', 1), ('下半天', 1), ('80歲', 1), ('19', 1), ('上週', 1), ('50多歲', 1), ('7週年', 1), ('幾天前', 1), ('最近幾週', 1), ('2019年', 1), ('第7個月', 1), ('5月1日勞動節', 1), ('12個月', 1), ('45歲以上', 1), ('27日', 1), ('6個月', 1), ('29歲', 1), ('6個月以上', 1), ('第一個月', 1), ('明天', 1), ('6月底', 1), ('清明', 1), ('2月', 1), ('3月16日起至3月底', 1), ('5到7天', 1), ('1到2月', 1), ('4到6月', 1), ('今年1、2月', 1), ('3到7月', 1), ('3月12日起至4月30日止', 1), ('109年3月11日', 1), ('17日', 1), ('3月12日到14日', 1), ('5月16日', 1), ('4月10日', 1), ('12月下旬', 1), ('20年', 1), ('3年', 1)]), ('國際', [('今天', 36), ('昨天', 7), ('2019年', 6), ('下週', 5), ('16日', 5), ('19', 4), ('2019', 3), ('6月20日', 2), ('17日', 2), ('過去幾天', 2), ('16歲以下', 2), ('30天', 2), ('數週', 2), ('4月4日', 1), ('11月3日', 1), ('7日', 1), ('本月4日至11日', 1), ('1090313', 1), ('4週', 1), ('15日', 1), ('一週', 1), ('2014年初', 1), ('十幾年前', 1), ('64歲', 1), ('這些年來', 1), ('上週', 1), ('4月初', 1), ('COVID-19', 1), ('兩年', 1), ('去年7月', 1), ('1090314', 1), ('2008、2009年', 1), ('多年來', 1), ('13日', 1), ('幾天內', 1), ('60天', 1), ('2月底', 1), ('33歲', 1), ('下週一', 1), ('61歲', 1), ('2月26日', 1), ('12月', 1), ('4月份', 1), ('2009年10月', 1), ('一個月', 1), ('1976年', 1), ('3月14日', 1), ('3月16日', 1), ('好幾個月', 1), ('11日', 1), ('本週', 1), ('1日', 1), ('去年', 1)]), ('社會', [('今天', 22), ('昨天', 5), ('50歲', 3), ('日前', 3), ('3日', 2), ('45歲', 2), ('60歲', 2), ('40歲', 2), ('23歲', 2), ('84歲', 2), ('20歲', 2), ('11日', 2), ('日治時代', 2), ('70歲', 1), ('13日', 1), ('33歲', 1), ('3年', 1), ('26歲', 1), ('57歲', 1), ('上月', 1), ('去年6月', 1), ('5年以上', 1), ('民國107年12月至108年1月', 1), ('39歲', 1), ('49歲', 1), ('去年7月3日', 1), ('去年8月29日', 1), ('今年2月', 1), ('去年10月', 1), ('去年7月', 1), ('昨日', 1), ('28歲', 1), ('22歲', 1), ('12日', 1), ('2月28日', 1), ('近日', 1), ('至3個工作天', 1), ('67歲', 1), ('2月29日', 1), ('民國109年3月', 1), ('31歲', 1), ('今年', 1), ('3年以下', 1), ('當天', 1)]), ('文化', [('今天', 23), ('去年', 10), ('今年', 10), ('1、2月', 7), ('4月', 6), ('80歲', 5), ('30年', 4), ('5月', 4), ('1940年', 3), ('1995年', 3), ('2018年', 3), ('2019', 3), ('9月', 3), ('5年', 3), ('1972年', 2), ('1960年', 2), ('11月', 2), ('上禮拜', 2), ('1月', 2), ('日前', 2), ('2020年', 2), ('百年', 2), ('4月30日', 2), ('下週', 2), ('一天', 2), ('8號', 2), ('40年', 2), ('15歲', 1), ('前年', 1), ('16歲', 1), ('11月第2週', 1), ('25日', 1), ('6月', 1), ('2年', 1), ('去年的80', 1), ('23歲', 1), ('八十年代', 1), ('1976年', 1), ('32歲', 1), ('17歲', 1), ('清朝時期', 1), ('200年', 1), ('明年10月', 1), ('200年以上', 1), ('清乾隆嘉慶時期', 1), ('民國90年', 1), ('90年', 1), ('20世紀', 1), ('10年', 1), ('綠島十年', 1), ('3月3日', 1), ('60年', 1), ('13日', 1), ('80', 1), ('前幾天', 1), ('20年前', 1), ('3年', 1), ('2月底', 1), ('3月15日', 1), ('2週', 1), ('10月', 1), ('10月2日至23日', 1), ('5年前', 1), ('去年12月', 1), ('0到3歲', 1), ('1月到3月', 1), ('2月到3月', 1), ('82年', 1), ('2014年', 1), ('3月13日', 1), ('19', 1), ('4月10日', 1), ('下週起至4月10日', 1), ('今年1月15日', 1), ('一年', 1), ('今年3月20日', 1), ('1月15日至3月31日', 1), ('清代', 1), ('8月', 1), ('5月至9月', 1), ('明年3月', 1), ('2月', 1), ('前天', 1), ('那些年', 1), ('20到30歲', 1), ('第2週', 1), ('3月22日', 1), ('30餘年', 1), ('2020年3月', 1), ('明天', 1), ('日治時期', 1), ('1936年新春', 1), ('20歲', 1), ('四十年', 1), ('2019年12月', 1), ('1954年', 1), ('55號', 1), ('90年代', 1), ('2020', 1), ('3月13日至29日', 1)]), ('兩岸', [('今天', 17), ('1090313', 9), ('昨天', 6), ('12日', 6), ('14天', 5), ('10日', 4), ('2月', 4), ('2019', 3), ('3月10日', 3), ('13日', 3), ('上月', 3), ('3月12日', 3), ('11日', 2), ('去年12月31日', 2), ('今年1月1日', 2), ('去年12月底', 2), ('1月11日', 2), ('去年11月', 2), ('年初', 2), ('11個月', 1), ('16個月', 1), ('2014年9月28日', 1), ('去年4月', 1), ('79天', 1), ('去年8月', 1), ('1月23日', 1), ('3月', 1), ('1月21日', 1), ('春節前夕', 1), ('30天', 1), ('2月底', 1), ('12月', 1), ('本週', 1), ('同一天', 1), ('兩個月', 1), ('19', 1), ('2月3日', 1), ('一歲半', 1), ('3月8日婦女節', 1), ('當天', 1), ('12月31日', 1), ('近日', 1), ('2019年', 1), ('2月7日', 1), ('3月7日', 1), ('全天', 1), ('12月1日', 1), ('12月17日', 1), ('同月11日', 1), ('12月20日', 1), ('39至79歲', 1), ('266例，2020年1月1日', 1), ('2020年1月10日24時', 1), ('55歲', 1), ('去年12月27日', 1), ('去年11月17日之前', 1), ('12月8日', 1), ('去年11月17日', 1), ('去年12月16日', 1), ('12月15日', 1), ('同年2月25日', 1), ('2007年1月30日', 1), ('2月21日', 1), ('今日', 1), ('一年', 1), ('去年底', 1), ('2005年', 1), ('去年中', 1), ('今年', 1), ('3天', 1), ('2018年', 1), ('1月22日', 1), ('6月', 1), ('1月20日', 1), ('3月11日', 1)]), ('全部', [('今天', 279), ('去年', 51), ('今年', 46), ('昨天', 40), ('2019', 30), ('2019年', 26), ('2月', 22), ('本週', 20), ('13日', 19), ('2018年', 18), ('日前', 16), ('1090313', 15), ('11日', 13), ('下週', 13), ('12日', 12), ('七號', 11), ('19', 11), ('4月', 11), ('2020年', 10), ('一年', 9), ('1月', 8), ('5年', 8), ('5月', 8), ('16日', 8), ('1、2月', 7), ('14天', 6), ('30天', 6), ('近日', 6), ('3月', 6), ('17日', 6), ('前年', 6), ('10年', 6), ('80歲', 6), ('去年底', 5), ('上週', 5), ('3年', 5), ('全年', 5), ('30年', 5), ('兩年', 4), ('2008年', 4), ('今年度', 4), ('2021年', 4), ('9月', 4), ('7日', 4), ('6個月', 4), ('14日', 4), ('明天', 4), ('9日', 4), ('2月底', 4), ('上月', 4), ('10日', 4), ('2016年', 3), ('去年10月', 3), ('4年', 3), ('2014年', 3), ('10月', 3), ('1年', 3), ('2020', 3), ('去年11月', 3), ('6月', 3), ('11月', 3), ('2021年上半年', 3), ('去年7月', 3), ('3個月', 3), ('3日', 3), ('20日', 3), ('19日', 3), ('過去幾天', 3), ('4月4日', 3), ('4月15日', 3), ('12年', 3), ('2009年', 3), ('109年', 3), ('第4季', 3), ('第1季', 3), ('第3季', 3), ('當天', 3), ('12週年', 3), ('4月10日', 3), ('80年代', 3), ('50歲', 3), ('23歲', 3), ('20歲', 3), ('1940年', 3), ('1995年', 3), ('3月10日', 3), ('3月12日', 3), ('2017年', 2), ('7週年', 2), ('過去一年', 2), ('105年', 2), ('3月12日止', 2), ('107年8月1日', 2), ('2年', 2), ('半年', 2), ('2012年', 2), ('二號', 2), ('7年', 2), ('去年8月', 2), ('數個月', 2), ('3月24日到29日', 2), ('2週', 2), ('3月22日', 2), ('全天', 2), ('COVID-19', 2), ('星期一', 2), ('1987年', 2), ('108年度', 2), ('15日', 2), ('往年', 2), ('2019年度', 2), ('3週', 2), ('前一年', 2), ('今日', 2), ('農曆春節', 2), ('第2季', 2), ('去年度', 2), ('2015年', 2), ('5個月', 2), ('20年前', 2), ('2月中下旬', 2), ('今年2月', 2), ('去年2月', 2), ('2019年12月', 2), ('1090314', 2), ('4月下旬', 2), ('17年', 2), ('7.1年', 2), ('今年5月', 2), ('63歲', 2), ('3月15日', 2), ('27日', 2), ('3月21日', 2), ('16歲', 2), ('3月27日', 2), ('8月7日', 2), ('32歲', 2), ('前幾天', 2), ('5月1日', 2), ('6月20日', 2), ('16歲以下', 2), ('33歲', 2), ('12月', 2), ('1976年', 2), ('數週', 2), ('45歲', 2), ('60歲', 2), ('40歲', 2), ('84歲', 2), ('日治時代', 2), ('1972年', 2), ('1960年', 2), ('上禮拜', 2), ('百年', 2), ('4月30日', 2), ('一天', 2), ('8號', 2), ('40年', 2), ('去年12月31日', 2), ('今年1月1日', 2), ('去年12月底', 2), ('1月11日', 2), ('年初', 2), ('1月1日', 1), ('一月', 1), ('2018', 1), ('2016', 1), ('半世紀', 1), ('去年3月', 1), ('103歲', 1), ('105年1月', 1), ('民國105年', 1), ('民國114年前', 1), ('今年10月', 1), ('9年', 1), ('時期', 1), ('2016年1月26日', 1), ('2018年底', 1), ('四年', 1), ('一個月後', 1), ('14年', 1), ('2月中旬', 1), ('2月初', 1), ('去年7月29日', 1), ('今年2月26日', 1), ('民國105年1月26日', 1), ('同年5月4日', 1), ('107年12月31日', 1), ('4天', 1), ('18日', 1), ('近年來', 1), ('30週年', 1), ('7月', 1), ('未來幾週', 1), ('3月底', 1), ('三號', 1), ('7天', 1), ('2019年6月25日', 1), ('去年6月25日', 1), ('去年8到10月', 1)])]"
